Weekday,View->Add,Add->Checkout,Checkout->Purchase,View->Purchase
Monday,0.35728542914171657,0.6312849162011173,0.8141592920353983,0.18363273453093812
Tuesday,0.3692022263450835,0.6381909547738693,0.8267716535433071,0.19480519480519481
Wednesday,0.4061855670103093,0.6192893401015228,0.8442622950819673,0.21237113402061855
Thursday,0.36162361623616235,0.6479591836734694,0.7480314960629921,0.1752767527675277
Friday,0.41785714285714287,0.7435897435897436,0.8620689655172413,0.26785714285714285
Saturday,0.4290909090909091,0.7457627118644068,0.8693181818181818,0.2781818181818182
Sunday,0.4406779661016949,0.6068376068376068,0.8169014084507042,0.2184557438794727
