,Age,Salary,Experience,Work_Hours,Promotion_Years,Attrition_Flag
Age,1.0,0.14685544449273835,0.4759491891150297,-0.09862748631880187,-0.01366735628004355,-0.1123566165685677
Salary,0.14685544449273835,1.0,0.42561985113066086,-0.017306586209152174,0.07463751664833439,-0.09397249898112792
Experience,0.4759491891150297,0.42561985113066086,1.0,-0.0158878575475433,0.08084058233325635,-0.04370145669621083
Work_Hours,-0.09862748631880187,-0.017306586209152174,-0.0158878575475433,1.0,0.016544879636450453,-0.017512909984011466
Promotion_Years,-0.01366735628004355,0.07463751664833439,0.08084058233325635,0.016544879636450453,1.0,-0.0175591591437513
Attrition_Flag,-0.1123566165685677,-0.09397249898112792,-0.04370145669621083,-0.017512909984011466,-0.0175591591437513,1.0
